[Sun Sep 14 17:21:27 2014] [error] [client 66.249.64.51] PHP Warning:  file_get_contents(): Filename cannot be empty in /srv/www/divine66.com/public_html/wp-content/themes/twentythirteen/testpage2.php on line 86
[Sun Sep 14 20:41:56 2014] [error] [client 180.76.6.148] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in /srv/www/divine66.com/public_html/wp-content/themes/twentythirteen/testpage2.php on line 60
[Sun Sep 14 20:41:56 2014] [error] [client 180.76.6.148] PHP Warning:  file_get_contents(): Filename cannot be empty in /srv/www/divine66.com/public_html/wp-content/themes/twentythirteen/testpage2.php on line 86
[Sat Oct 04 01:11:49 2014] [error] [client 24.36.72.92] PHP Parse error:  syntax error, unexpected ';' in /srv/www/divine66.com/public_html/wp-content/themes/twentythirteen/contactpage.php on line 80, referer: http://www.divine66.com/contact/
[Sat Oct 04 01:20:11 2014] [error] [client 24.36.72.92] PHP Warning:  mail() expects at least 3 parameters, 2 given in /srv/www/divine66.com/public_html/wp-content/themes/twentythirteen/contactpage.php on line 94, referer: http://www.divine66.com/contact/
[Sat Oct 04 01:20:15 2014] [error] [client 24.36.72.92] PHP Warning:  mail() expects at least 3 parameters, 2 given in /srv/www/divine66.com/public_html/wp-content/themes/twentythirteen/contactpage.php on line 94, referer: http://www.divine66.com/contact/
[Sat Oct 04 01:31:52 2014] [error] [client 24.36.72.92] PHP Parse error:  syntax error, unexpected T_VARIABLE in /srv/www/divine66.com/public_html/wp-content/themes/twentythirteen/contactpage.php on line 94, referer: http://www.divine66.com/contact/
[Sat Oct 04 01:34:52 2014] [error] [client 24.36.72.92] PHP Parse error:  syntax error, unexpected T_VARIABLE in /srv/www/divine66.com/public_html/wp-content/themes/twentythirteen/contactpage.php on line 93, referer: http://www.divine66.com/contact/
[Sat Oct 04 16:28:17 2014] [error] [client 24.36.72.92] PHP Parse error:  syntax error, unexpected T_STRING in /srv/www/divine66.com/public_html/wp-content/themes/twentythirteen/contactpage.php on line 75, referer: http://www.divine66.com/contact/
[Sat Oct 04 16:28:38 2014] [error] [client 24.36.72.92] PHP Parse error:  syntax error, unexpected T_STRING in /srv/www/divine66.com/public_html/wp-content/themes/twentythirteen/contactpage.php on line 75, referer: http://www.divine66.com/contact/
[Sat Oct 04 16:28:51 2014] [error] [client 24.36.72.92] PHP Parse error:  syntax error, unexpected T_STRING in /srv/www/divine66.com/public_html/wp-content/themes/twentythirteen/contactpage.php on line 75, referer: http://www.divine66.com/contact/
[Sat Oct 04 16:28:57 2014] [error] [client 24.36.72.92] PHP Parse error:  syntax error, unexpected T_STRING in /srv/www/divine66.com/public_html/wp-content/themes/twentythirteen/contactpage.php on line 75, referer: http://www.divine66.com/contact/
[Sat Oct 04 16:39:10 2014] [error] [client 24.36.72.92] PHP Parse error:  syntax error, unexpected T_ECHO in /srv/www/divine66.com/public_html/wp-content/themes/twentythirteen/appointmentpage.php on line 72, referer: http://www.divine66.com/book-appointment/?entry_0=Initial%20Consultaion
[Sat Oct 04 16:39:18 2014] [error] [client 24.36.72.92] PHP Parse error:  syntax error, unexpected T_ECHO in /srv/www/divine66.com/public_html/wp-content/themes/twentythirteen/appointmentpage.php on line 72, referer: http://www.divine66.com/book-appointment/?entry_0=Initial%20Consultaion
[Wed Oct 08 13:49:47 2014] [error] [client 66.249.64.43] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in /srv/www/divine66.com/public_html/wp-content/themes/twentythirteen/testpage2.php on line 60
